code,hex0,hex1,hex2,hex3,hex4,L0,a0,b0,L1,a1,b1,L2,a2,b2,L3,a3,b3,L4,a4,b4,tags,likes
81a6c6aacddcf3e3d0d2c4b4,#81A6C6,#AACDDC,#F3E3D0,#D2C4B4,#81A6C6,0.7094292492746482,-0.026284015075217493,-0.05629561715957698,0.8277020460933727,-0.02987696946079499,-0.030732880309526478,0.9235971775322322,0.009431103509367045,0.029212892987017125,0.8274668222836516,0.008733419918360408,0.02547055202486148,0.7094292492746482,-0.026284015075217493,-0.05629561715957698,pastel,526
84b179a2cb8bc7eabbe8f5bd,#84B179,#A2CB8B,#C7EABB,#E8F5BD,#84B179,0.7134620191093133,-0.07059109955242326,0.06009874576205143,0.7965676002672539,-0.06857722293959179,0.06920639306977361,0.8996798926451836,-0.05396116369378445,0.04890853943291695,0.9466597020280028,-0.035238340814523816,0.06492914218341461,0.7134620191093133,-0.07059109955242326,0.06009874576205143,pastel,1078
8a76508e977dece7d1dbcea5,#8A7650,#8E977D,#ECE7D1,#DBCEA5,#8A7650,0.5751188742614519,0.007222189709909621,0.05862760860341709,0.6617600703505048,-0.021099500006465766,0.03242861855572399,0.9260320603510883,-0.0033147712069148128,0.029368535632539494,0.851714913242763,-0.002501549846415152,0.05607486520417049,0.5751188742614519,0.007222189709909621,0.05862760860341709,pastel,1240
576a8fb7bdf7fff8deff7444,#576A8F,#B7BDF7,#FFF8DE,#FF7444,#576A8F,0.523951016626467,-0.00732267359210792,-0.06275336259640579,0.8139653957915985,0.013978351150132129,-0.08086388672735245,0.977782248881805,-0.0027545522258609623,0.0345352171464135,0.7179985969525533,0.14065536067238638,0.11394756229011477,0.523951016626467,-0.00732267359210792,-0.06275336259640579,pastel,1201
bfc6c4e8e2d86f8f72f2a65a,#BFC6C4,#E8E2D8,#6F8F72,#F2A65A,#BFC6C4,0.8205079768816612,-0.008176494605535156,0.00029664390548767017,0.9147498037379129,0.002413167035029584,0.014639648221960955,0.6172869685438577,-0.04741221863861833,0.030320306994693735,0.7845612596141422,0.05653993350831854,0.11556949701569735,0.8205079768816612,-0.008176494605535156,0.00029664390548767017,pastel,813
213c516594b1ddaed3eeeeee,#213C51,#6594B1,#DDAED3,#EEEEEE,#213C51,0.34467073573988855,-0.022218553754821402,-0.04439949730606968,0.6439121516190132,-0.037106965624970956,-0.0557539333564353,0.8044998782337777,0.06569418001783656,-0.03241064297521945,0.9491209076456786,2.169192684142729e-06,-0.00010786993457656546,0.34467073573988855,-0.022218553754821402,-0.04439949730606968,pastel,1854
5749649f8383c8aaaaffdab3,#574964,#9F8383,#C8AAAA,#FFDAB3,#574964,0.43020374909194803,0.028996929765212398,-0.03708822638777548,0.6360547727526318,0.03273557591225895,0.010624388637448967,0.764334085178194,0.03338076717085503,0.010724199309997018,0.9099551230814683,0.024225874608103215,0.060883762635489,0.43020374909194803,0.028996929765212398,-0.03708822638777548,pastel,1979
ea7b7bd253539e3b3bffead3,#EA7B7B,#D25353,#9E3B3B,#FFEAD3,#EA7B7B,0.7080206800673463,0.128077347454012,0.049412050185648204,0.6090610960436161,0.1482263767102947,0.06331583840921062,0.49079454416921686,0.12159536988677355,0.05235203317999626,0.947924231839006,0.013090585908923646,0.03563153928770435,0.7080206800673463,0.128077347454012,0.049412050185648204,pastel,2885
2d3c5994a378e5ba41d1855c,#2D3C59,#94A378,#E5BA41,#D1855C,#2D3C59,0.356852615007313,-0.006673279883905425,-0.0540820514785329,0.692265242684253,-0.034727937376738405,0.052107251963865175,0.806262562788605,0.003244132861018434,0.14226677206668176,0.6868971927608114,0.07218303353424904,0.08182445697364327,0.356852615007313,-0.006673279883905425,-0.0540820514785329,pastel,1089
f6f0d7c5d89d9cab8489986d,#F6F0D7,#C5D89D,#9CAB84,#89986D,#F6F0D7,0.9532519732743994,-0.003422656466562035,0.033192011642122154,0.8533464726389205,-0.043612316966867404,0.06806589382772954,0.7190207084175887,-0.03267042735543857,0.04673472033505577,0.6563195882903944,-0.0351971891337679,0.0526065795374101,0.9532519732743994,-0.003422656466562035,0.033192011642122154,pastel,4482
97a87aa8bba3fcf9eaffa239,#97A87A,#A8BBA3,#FCF9EA,#FFA239,#97A87A,0.7062662771482208,-0.03798497586082594,0.05506719153137357,0.7707589782836454,-0.02992479955017835,0.025766653396623873,0.9803914451861007,-0.002613728182791597,0.019679972645629484,0.7894660973260508,0.06831024729092694,0.14201185911943398,0.7062662771482208,-0.03798497586082594,0.05506719153137357,pastel,1079
5a9cb5face68faac68fa6868,#5A9CB5,#FACE68,#FAAC68,#FA6868,#5A9CB5,0.6584199903583565,-0.05475109200367756,-0.0540181232091862,0.8698781682982487,0.008739549502318589,0.12954171099153378,0.8061558278921352,0.06104119037503808,0.10866613426340344,0.6998915881066449,0.16531585756118305,0.06972706228549941,0.6584199903583565,-0.05475109200367756,-0.0540181232091862,pastel,1970
434e78607b8ff7e396e97f4a,#434E78,#607B8F,#F7E396,#E97F4A,#434E78,0.4335487693389392,0.002466061935294306,-0.07107960666542795,0.5692664719377027,-0.021608312590148282,-0.038423183773333314,0.9149756192541423,-0.009152198859347482,0.09829665449854608,0.7047221485738107,0.10251554965381082,0.10550981598024123,0.4335487693389392,0.002466061935294306,-0.07107960666542795,pastel,1437
